Grantee,Total awarded:,Grant purpose,Grantee website,Year(s) granted:,Focus area,Service area,Returned/Cancelled grant?,Reason cancelled/returned:,City,Lat,Long,Area,Legislative district,Project
Muslim.co,$175000.00,"to fund a media publication centering Muslim news, with coverage affecting the New Jersey Muslim community. New Jersey contains the highest percentage of Muslims to the state population in the United States. The money also is helping Muslim.co expand its coverage of the Palestinian community in New Jersey, particularly in the context of the conflict in Gaza. 
",https://www.muslim.co,2023,Civic news and information reporting,Statewide,checked,"Grants returned due to inactivity
",Newark,40.7357,-74.1724,North Jersey,29,Muslim community news coverage
DoverNow Magazine,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,dovernow.com,2025,Journalism pipeline,North Jersey,,,Dover,40.8837,-74.5622,North Jersey,25,Statewide Paid Internship Program
Hammonton Gazette,$100000.00,"to fund the expansion of its coverage to neighboring communities in South-Central New Jersey that currently lack local news. It will fund additional staff, including a new position and an expanded freelance budget involving Rowan students, enabling the Gazette to provide weekly coverage of local events, activities, and sports. The project also offers young journalists practical experience, supporting the Gazette's mission to deliver reliable news in an area facing a decline in traditional news sources.

",http://hammontongazette.com,"2024,2025",Journalism pipeline,Atlantic County,,,Hammonton,39.6368,-74.8021,South Jersey,8,South-central NJ coverage expansion
Trenton Journal,$410000.00,"to train local contributors to increase the frequency of Trenton Journal’s editorial output, help change the narrative, bridge information gaps, and connect communities in Trenton. The Trenton Journal focuses on addressing the disparities faced by the Black and Brown community in Trenton using solutions-based journalism via a newsletter, video, and audio stories.",https://trentonjournal.com,"2021,2022,2023,2024,2025",Civic engagement in NJ communities,Mercer County,,,Trenton,40.2206,-74.7597,Central Jersey,15,Local contributor training
70and73.com,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.70and73.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,South Jersey,,,Marlton,39.8989,-74.9275,South Jersey,8,Blue Engine Technology & Sustainability Accelerator cohort
Garden State Initiative,$100000.00,"to support the Garden State Initiative (GSI) in its efforts to leverage expert resources to develop a comprehensive data warehouse and user-friendly reporting system that provides timely analysis of past and current state budgets, as well as the proposed FY 2026 budget, with a particular focus on so-called budget resolutions (more commonly referred to as earmarks). Guided by budget experts and financial journalists, this initiative aims to enhance transparency by making otherwise opaque public expenditures more accessible and understandable, ensuring that critical fiscal information serves the broader public policy interest. For the current fiscal year, over $1 billion were allocated to these resolutions.",https://www.gardenstateinitiative.org/?gad_source=1,2025,Civic news and information reporting,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,State budget data warehouse
The Daily Targum (Targum Publishing Co.),$60000.00,"to support The Daily Targum, Rutgers University’s student-run news outlet, aims to expand its digital presence, attract advertisers, and secure a 2025 student fee referendum to restore University funding. As one of New Jersey's largest journalism training grounds, employing over 30 student journalists each year, the Targum aligns with the Consortium's mission by producing civic news and covering the Rutgers communities of New Brunswick, Newark, and Camden.
",http://dailytargum.com,2024,Civic news and information reporting,Middlesex County,,,New Brunswick,40.5008,-74.4474,Central Jersey,17,Daily Targum digital expansion
New Jersey Urban News,$220000.00,"to fund New Jersey Urban News, an online news platform dedicated to covering New Jersey’s vibrant African American community through informative stories and thorough coverage. NJUN will use this funding to hire a full-time editor and reporter, improving the depth and quality of local reporting for New Jersey's urban communities. This initiative aims to address critical issues, amplify marginalized voices, and foster civic engagement by ensuring residents are well-informed and connected to local resources.
",https://www.njurbannews.com,"2024,2025",Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Editor and reporter hiring
Newark Water Coalition,$134930.00,"to create Newark Community Voices, a digital-media and community-organizing training program for Newark youth. The program produces and distributes multimedia health and environment stories that center Newark community-information needs, with a focus on an oral history of the advocates who worked to clean up Newark’s drinking water.
",https://www.newarkwatercoalition.org,"2021,2022,2023",Civic engagement in NJ communities,Essex County,,,Newark,40.7357,-74.1724,North Jersey,29,Newark Community Voices
The Jersey Vindicator,$395000.00,"to build The Jersey Vindicator — the “ProPublica of New Jersey” — with the goal of engaging and empowering the public through investigative journalism at the local, county, and state level in its publication, ultimately ensuring that residents — particularly those in underserved communities — are better informed about government, business, education, transportation, criminal justice reform, and the environment.
",https://jerseyvindicator.org,"2022,2023,2024,2025",Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Investigative journalism launch
